3927.3,6080.1,3885.3,5826.6,4447.6,6792.4,8349.5,4678.9,5731.9,6990.3,10851,3470.2,5073.8,5678.3,4679.9,5846.8,4123.8,7601.7,6153.1,4567.6,3392.3,3930.7,7580.3,3652.3,5604.4,8690.6,6535.5,10951,5522.3,5266.6,6568.6,8724,7026.4,11129,5834.4,5198,7940.1,3833.2,5068.7,4190.6,6713.9,4569.5,6917.8,6479.6,9902.9,5621.3,5673.3,4707.2,4660.9,6258.1,7449.8,4044.7,5701.5,5455.1,4845.2,6147.3,4857.1,5347.8,6544.6,7832.2,5536.2,6766.6,7920.4,6022.6,3451.6,5905,9959.4,4989.2,4930.7,11469,3112.4,7510.7,5359,8495.2,2388.4,4266.8,5171.5,4868.9,7675.2,3084.6,4672.9,7732.2,9448.4,8102.8,6134.5,9121.5,7013,20539,7804.9,5110.6,6992.7,7278.9,8036.7,4401.9,3687.8,2718,7762.2,9201.6,5408,6035,7026.3,8151.7,5071.4,8424.7,7144.5,4278.6,5753,6112.8,2891.8,5511.9,6331.8,4547.2,4302.5,7421.7,3220.4,8762,5570.6,5378.8,5846.4,3881.9,5222.6,7777,5856.8,7799.7,5538.6,7620.7,4967.2,6627.1,6999.1,4774.7,3246.8,8221.9,6136.9,5148.2,3498.8,4087.5,5986.5,7380.3,6534.5,6098.2,4796.5,5407.3,6900.4,6391.5,4169.2,4531.2,5478.9,7794.6,4434.8,6798,3639.4,3979,6200.6,7011.4,6302.5,5497.2,3891.8,9815.7,4989.1,6639.6,6308.6,7910.1,6827.3,5931.7,2564.3,3715.4,4223.6,7186,4837.6,5495.7,6919.1,4937.7,4506.5,2254,6973.4,6121.4,4870.6,2877,4889.6,5920.9,4868.4,8247.5,7305,4566.6,4322,4929.9,6095.2,5624.6,3956.8,6636.8,4320.9,6800.5,5436.2,4234.4,6859.5,3802.5,5111.3,2400.6,6604.9,1650.2,5279,3336.1,2950,4568,6505.7,1411.9,4235.4,2449.8,3014.9,5270.2,4054.6,3460.7,4274.5,6191.5,5108.2,5909.7,3235.8,3804.7,2504.1,9672
7771.2,12029,7685.8,11686,8810,13569,16731,9192.2,11322,14017,21599,6935.8,10070,11341,9257.8,11651,8116.6,14994,12301,8995.8,6724.5,7730.1,14990,7277,11156,17255,13030,21889,11048,10462,12926,17257,14079,22395,11714,10381,15735,7508.1,10013,8429.7,13460,9063.4,13780,12917,19658,11079,11300,9216.5,9383.8,12461,14806,8015.9,11311,10774,9554.6,12041,9658.3,10676,12976,15748,11178,13587,15767,11961,6848.3,11877,19846,9959.3,9845.3,23240,6018.7,15015,10666,16828,4697.5,8519.3,10373,9680.6,15437,6181.7,9149.2,15562,19021,16091,12091,18341,13992,41311,15573,10157,13936,14550,15992,8709.6,7408,5393.7,15412,18375,10755,12066,13915,16229,10260,16726,14392,8535,11523,12180,5761.8,10975,12521,9114.3,8576.1,14756,6424.4,17464,10930,10775,11721,7799.7,10308,15645,11865,15397,11019,15316,9937.4,12981,14096,9588.5,6537.8,16269,12234,10194,6890.4,8094.7,11803,14598,12958,12224,9470,10754,13627,12663,8246.2,9114.5,10924,15593,8816,13501,7065,7990.6,12182,14013,12496,10942,7816.5,19454,9823.6,13184,12631,15901,13611,11812,5031.3,7264.6,8499.2,14387,9798.7,10833,13741,9857.3,8968.2,4507.5,13918,12079,9601.7,5742.7,9779.9,11815,9805.6,16471,14378,9072.6,8559.5,9853.7,11999,11286,7918.8,13226,8662.1,13488,10772,8496.4,13611,7515.7,10156,4648.5,13234,3275.1,10535,6696.6,5735.7,9073.8,13259,2816,8314.5,4860.9,5985.4,10418,8140.8,6809.4,8518,12324,10029,11786,6280,7690.4,4996.8,19215
3935.6,6056.2,3823.8,5822.2,4402.6,6890.4,8333.9,4625.9,5703.6,6982.1,10929,3498.1,5127,5693.8,4734.9,5909.4,4138.2,7485.1,6226.1,4508,3393,3919.8,7619.3,3639.1,5558.4,8694.7,6509.9,10991,5488.5,5294.2,6585.1,8673.5,7124.9,11202,5865.2,5204,7876.1,3779.6,5053.7,4303.7,6741.6,4578.2,6914,6506.6,9936.6,5561.7,5699.5,4661.9,4743.4,6283.4,7464.9,4026.8,5594.4,5432,4857.7,6112.7,4920.6,5385.5,6514.4,7923.6,5595.8,6828.2,7907.2,6013.8,3421.7,5943.8,9947.2,5045,4977.1,11617,3043.1,7541.3,5367.2,8502.9,2389.7,4264.6,5241.2,4866.1,7783.5,3109.7,4650.5,7852.7,9523.1,8142.8,6202.3,9229.1,7022.3,20693,7793.2,5070.4,6986.6,7373.5,8008,4407.5,3681.5,2727.9,7782.2,9227.5,5420.1,6130.2,7029.2,8146.6,5120.3,8529.3,7225.7,4305.2,5782.2,6188.4,2925.9,5517.3,6321.4,4561.6,4378.9,7415.5,3244.2,8833.2,5518.8,5442,5881.7,3911.4,5196.3,7872.8,5918.7,7731.2,5536.4,7586,5049.1,6649.1,7092.7,4782.7,3320.3,8172.9,6202.7,5214.3,3531.4,4122.2,5894.9,7447,6515.4,6168.5,4779.5,5362.9,6876.5,6393.1,4123.9,4603,5491.6,7790.8,4402.9,6751.3,3523.1,4031.3,6118.9,7055.3,6339.5,5612.9,3915.9,9840.8,4991,6619,6329.8,7938.4,6834.7,5925.4,2580.8,3738.5,4345.1,7224.3,4861.5,5470.8,6899.7,4903.9,4518.5,2322.1,6955.3,6098.3,4910.4,2892.3,4914.6,5957.2,4844.5,8272.5,7292.6,4563,4332.9,4933.6,6081.9,5688,3964,6659.5,4316.2,6751.9,5390.5,4236.5,6818.2,3904.2,5097.1,2436.3,6681.4,1642.7,5258.1,3361.9,2949.8,4540.4,6584,1436.9,4268.9,2490.1,3004,5241.1,4139.4,3339.8,4213.8,6128,5094.7,5970.5,3225,3829.1,2509.6,9654.3
5631.9,8800.2,11476,8373.1,7317.5,11052,12840,6885.5,36401,11158,7004.9,4199.9,9981.8,6342.8,7796.7,11306,11235,9879.2,13187,4667.5,6556,5343.1,12695,8214.3,4456.9,17817,9545.5,10116,8627,7457.5,12434,16866,9883.1,12322,8634.8,9770,14578,7508.6,7728.9,9185.1,4474.6,8367.9,10019,12902,14112,15493,7079.3,10271,4687.6,13274,11783,5814.9,8174.3,9120.9,5440.4,7759.8,9869.4,4957,11607,11680,7170.3,14024,11688,7736.6,4545.4,10826,17054,15740,9847.2,53761,19136,8359.6,11740,10873,5123.1,6385.4,8862.2,3762.8,12121,5726.5,7160.9,12773,20920,9848.7,9812.7,10325,10153,43978,12574,5295.5,9754.2,10091,7496.2,5234.4,8288.2,3720.4,19653,24825,6534.9,10272,6989.3,10581,6878.3,16345,13138,9593.4,6244.4,8403.2,4430.4,7688.2,8998.9,6661.4,6751.9,12033,4434.6,11222,10780,10407,8483.3,6226,4977.4,9660,6114.3,18570,5027.8,10285,11864,18414,8210.4,7813.5,4496.7,22839,7258.3,6636.8,6875.9,6505.3,7587.3,12491,12008,8553.6,8476.7,7188.4,14858,11698,8492.4,8042.7,12825,10088,10411,10729,6274.8,7626.7,6486.4,8503.3,11334,7289.8,5520.5,13652,8916.3,5293.4,7807.9,6908.7,7537.1,3385.6,6621.7,5749.9,6147.3,5693.2,4798.6,4611.1,5721.1,8452.8,6723.6,3431.4,4795.1,5469.6,2818.4,4310.6,4547.5,8786.6,10651,9969.7,10946,13174,8655.7,6044.1,9992.7,7905.9,9106.1,10636,9731.5,13038,15279,4706.8,8238.6,8019.9,10148,3883.1,11402,2363.4,8607.2,8252,5517.8,6049.3,10455,2770.5,9241.2,3893.1,4859,11449,10148,7396.9,3640.2,7774.4,8094.5,7526.2,4358,3727.9,2908.1,11282
437.93,232.74,610.99,1107.8,866.55,414.34,265.09,463.92,4726.7,228.32,289.8,637.93,132.66,447.67,71.826,1416.4,1139.5,82.186,674.36,131.71,1164.3,419.69,180.7,634,123.06,444.1,1426.8,1920.6,266.26,389.01,385.54,505.26,312.81,230.95,176.42,253.18,197.82,477.75,433.4,62.995,84.482,347.1,1077.9,996.1,1678,935.81,1057.5,1131,424.74,353.16,1348.7,481.81,229.63,1220.6,43.406,370.29,756.33,402.46,823.98,150.63,193.26,522.09,492.59,748.67,407.69,631.26,204.57,491.58,118.94,1945.2,995.79,117.39,815.49,194.79,471.77,1121.5,410.51,430.79,558.12,387.86,202.16,170.74,877.9,325.9,363.93,158.69,692.72,477.48,686.52,317.49,478.75,104.1,426.06,357.34,1435.7,373.65,1059.3,519.48,610.37,433.41,453.68,1324,429.7,958.84,986.41,811.64,1015.1,942.73,1158.8,943.69,609.21,707.01,99.625,643.55,339.41,220.79,1384.1,692.18,549.5,818.8,451.37,777.93,484.19,849.7,494.95,679.26,841.38,171.9,671.84,511.23,233.27,2789,941.4,1324.5,292.91,175.78,68.1,187.8,472.91,669.62,57.624,720.3,559.94,535.29,337.25,240.55,483.69,564.98,620.34,156.01,277.88,286,203.32,260.1,932.41,269.54,117.68,657.34,843.86,743.71,732.27,204.68,93.112,128.32,198.19,268.71,471.38,449.51,143.18,241.91,266.75,153.24,119.76,328.29,169.02,50.608,82.17,599.45,470.92,714.47,1080.8,1629.9,291.32,1307.9,950.72,513.62,487.6,1209.3,483.7,2197.1,686.94,609.04,467.75,64.801,744.68,104.09,508.42,254.34,729.15,541.16,543.27,185.3,89.969,101.53,190.08,407.64,363.5,706.92,134.47,391.28,334.24,248.93,171.86,219.14,179.65,328.3,232.42,119.19,341.6,983.62
224.08,396.05,1288.7,255.36,299.76,381.57,422.67,223.15,2699.2,387.14,171.03,251.54,639.6,502.23,801.29,761.66,447.63,584.6,477.73,770.26,161.19,720.16,1154.3,232.62,715.86,639.64,549.51,358.66,651.66,550.12,382.66,350.32,522.28,620.39,295.69,386.03,622.67,304.02,458.08,562.96,484.16,392.7,241.2,512.09,345.22,506.32,337.1,469.17,379.65,398.45,305.34,313.59,349.75,521.39,659.77,519.77,291.88,375.43,171.25,267.62,866.65,487.41,495.94,524.29,415.12,395.66,524.53,363.98,563.64,881.81,933.29,405.94,351.12,744.57,454.55,208.45,466.79,299.58,426.43,339.11,307.42,821.7,859.5,481.26,670.03,990.19,548.67,1411,451.21,370.17,610.23,493.36,450.4,239.96,253.75,306.74,273.35,451.41,556.71,538.98,607.99,346,840.33,510.01,451.22,330.68,550.94,529.04,168.67,273.53,390.32,347.51,482.5,533.28,291.49,638.72,517.42,307.01,312.51,285,451.73,539.18,308.39,274.04,434.18,441.66,522.15,585.25,781.28,468.4,672.92,494.49,421.59,477.15,326.44,546.89,590.47,712.59,541.21,357.28,520.99,386.06,572.32,676.89,488.77,388.87,624.35,542.18,318.52,539.79,578.08,368.5,713.5,542.42,543.45,864.67,346.2,414.14,499.92,841.81,917.13,1167.6,1197.3,836.25,920.48,480.14,972.67,444.37,530.98,449.72,611.22,519.33,527.93,772.07,643.33,342.58,721.78,276.78,502.82,624.18,591.42,249.69,721.04,338.78,284.22,265.99,484.01,356.44,462.78,352.72,393.91,369.11,754.56,410.85,476.9,958.01,245.36,787.06,658.93,121.65,346.92,596.54,614.3,606.02,780.34,300.82,416.42,287.84,592.55,373.43,289.9,380.93,618.82,516.35,609.79,1013.6,651.22,382.74,157.52,459.3
423.87,494.67,982.97,903.76,449.26,444.65,867.03,859.62,1428.9,643.03,514.48,551.19,449.05,750.84,435.96,786.81,1054,579.46,1003.9,543.9,703.3,830.99,780.81,699.51,405.34,2609.9,1026.4,1794,593.54,853.92,917.31,512.07,659.39,367.01,227.11,641.75,428.91,712.08,944.92,527.63,1411.4,851.24,1621.8,849.55,2010.1,745.94,948.71,632.23,745.21,887.9,555.53,537.81,379.43,738.06,379.89,720.33,1075.7,1137.4,810.72,262.5,1062.5,299.24,867.86,921.32,685.53,1007.6,500.4,1091.6,635.75,1684.7,720.45,397.43,606.95,1586.1,266.57,775.65,548,819.26,862.03,545.35,474,345.47,927.62,745.97,563.85,535.58,890.05,1162.8,724.81,920.12,1128.1,677.89,792.21,607.48,649.2,381.02,704.31,798.35,461.18,736.27,426.93,1110.8,461.43,1107.6,719.08,520.09,1145.7,849.53,678.81,1092.4,698.26,408.84,474.3,535.72,627.05,464.48,838.97,638.25,1043.9,744.09,488.97,968.15,443.93,711.79,354.42,434.31,581.14,263.52,624.55,1003.3,481.13,2408.3,493.86,1131.8,367.63,810.35,696.32,1206.9,1228.5,994.23,596.74,1213,1135.2,950.18,721.86,733.03,731.17,1292.8,834.38,653.56,717.73,597.72,477.97,937.88,1203.7,1168.2,348.59,764.69,663.67,816.74,1128.1,490.49,455.26,1047.2,550.69,1034.2,546.64,1224.9,719.64,601.72,774.71,903.18,394.64,722.19,832.06,409.24,532.84,559.39,652.08,975.12,1166.5,1343.1,912.17,853.49,634.99,1175.6,703.85,1239.5,525.9,1354,583,1054.7,566.22,347.64,864.71,277.19,783.68,446.44,720.98,417.2,722.1,539.37,298.85,636.58,975.28,447.86,584.1,443.09,347.53,791.95,258.61,280.45,375.98,461.61,876.72,1180.2,464.63,355.46,561.35,987.24
9.1118,10.491,14.461,9.0886,7.2739,15.284,17.881,7.7293,13.669,13.591,6.4195,6.1473,13.352,16.662,16.006,18.782,10.355,13.209,11.595,18.615,4.0827,30.25,23.408,6.7216,25.691,11.907,12.812,12.31,21.706,12.091,20.183,7.6619,11.689,14.342,5.9636,15.064,17.748,15.346,12.835,16.901,10.665,13.833,11.615,11.643,9.9302,16.007,11.183,12.878,7.4947,14.127,10.029,17.248,18.371,22.39,20.835,17.751,8.6286,12.675,8.6664,10.602,11.985,13.109,14.85,16.273,9.8238,10.041,19.233,13.162,15.609,8.1856,10.98,12.93,14.562,14.109,11.945,7.2587,12.119,8.934,16.394,15.115,16.951,15.989,33.512,19.992,33.901,34.145,13.13,29.73,15.052,6.527,15.725,22.712,12.166,13.575,9.9877,9.5076,8.9536,25.318,11.437,9.7625,12.088,11.84,19.421,15.022,10.693,14.622,12.942,9.2694,6.8378,13.218,12.837,11.492,7.2708,14.263,9.9595,14.22,13.099,12.158,11.272,6.6297,12.146,12.039,9.6577,7.1179,8.0744,12.247,10.787,15.551,23.307,17.962,10.723,14.317,15.752,10.922,13.921,16.821,18.598,24.518,13.401,9.2638,13.366,10.589,18.802,13.899,10.34,9.0285,18.301,12.208,10.418,14.082,12.382,13.29,14.637,20.068,18.025,21.895,17.421,21.541,17.331,17.655,28.15,22.247,28.428,19.347,20.386,14.364,19.382,14.919,14.634,17.134,13.046,20.773,16.829,14.83,20.178,9.0024,22.064,7.3636,11.407,8.6984,15.618,11.515,24.828,10.635,9.1303,8.6806,10.583,9.5997,11.293,10.116,11.844,9.9968,11.271,15.138,16.185,19.615,17.538,11.659,15.514,4.4818,5.2073,18.254,19.911,19.137,20.009,11.391,12.75,8.508,13.123,12.463,16.992,14.548,16.717,11.755,17.167,38.301,22.301,10.911,6.0423,23.023
10761,15337,4782.7,13032,8793.6,15327,16163,8141.7,3263.2,13387,15788,8590.3,9845,14251,10215,9675.7,4868.3,13158,9320.7,12190,5498.9,6718.3,11892,6495.4,15378,12202,12401,22505,8982.5,10620,10833,13772,15513,26810,12586,12217,12619,7919.5,12557,7725.7,14882,7127.3,11481,8368.5,14546,8543.5,7698.7,6562.1,12136,11352,13284,6712.5,11440,10002,14127,13577,7499.4,19778,11648,12548,13962,8911.7,15153,12250,6335.1,9788.9,16571,7187.6,12244,5840.8,1935,10360,10124,24864,4909,7217.2,9489.8,17339,13814,7339.6,8812.1,15294,20318,18326,12209,21124,13389,21373,11816,11923,11523,16979,21375,12589,6004.1,8997.2,10132,11688,13207,7780.5,24181,15540,9978.1,9412.7,13309,9024.3,12222,13230,5823.1,10541,14719,9289.5,9853.9,12480,6196.7,16379,9816.7,10870,16214,7926.5,16633,12611,12147,9926.2,12435,17827,7676.4,9541.7,16693,11130,9377.1,6239.7,14225,8349.8,9769.5,8205.1,13350,13421,8271.3,9635.7,7016.8,8716,11538,11914,5122.5,6670.8,6819.5,14026,4559.4,9615.2,5776.5,5739.7,12989,17385,12654,14419,9805.8,16190,8278.1,15315,13037,24517,24544,14676,6387.9,6124.5,8479.1,16111,12481,10795,14682,9524.9,11627,4319,27777,5888.8,16278,6163,12346,11400,6714.9,14492,11864,5427.4,7002.7,8570.1,11021,10257,11370,8758.6,4855.1,7059.3,3464.9,9955.2,16007,10287,11728,7381.5,13794,4502,9257,4110.7,10593,15034,12575,3084.6,8332.1,5644.4,10554,12793,7886.5,8459.4,13193,13645,12857,14235,11378,8711.1,7606.2,24878
374.93,506.04,366.35,352.54,363.89,539.59,642.84,315.57,286.14,644.2,472.75,271.88,869.25,820,1395.3,882.42,354.84,794.96,571.59,673.58,214.26,631.19,816,257.75,907.43,592.2,820.06,887.34,897.18,664.79,386.37,377.56,476.08,733.66,475.6,481.13,551.3,325.45,562.75,739.04,657.89,507.98,529.94,319.71,611.23,624.29,599.5,360.41,256.89,517.7,541.56,278.65,708.45,512.44,603.87,721.58,509.55,546.71,372.21,548.76,1047.9,802.16,560.15,639.92,563.23,643.1,973.88,327.61,1294.5,296.17,226.35,501.89,358.31,1102.7,422.86,317.09,542.71,473.37,482.14,363.97,458.52,512.78,1085,528.71,545.9,1070.5,477.02,1121.9,704.41,433.95,739.74,653.92,799.41,343.77,225.35,254.8,408.52,482.73,307.45,496.75,747.13,611.62,647.15,391.28,576.39,365.78,457.96,392.92,173.33,300.46,458.41,471.05,505.71,578.85,405.04,581.84,596.88,492.63,663.63,554.14,734.66,833.49,359.13,449.1,451.74,590.51,563.78,940.39,377.3,572.48,493.62,284.47,411.86,397.14,378.43,484.45,621.11,630.17,481.97,487.98,530.2,385.04,460.42,515.83,362.02,385,459.64,569.83,271.03,503.36,530.18,309.99,963.93,986.48,1036.9,1066.1,915.62,906.79,744.55,1061.9,1115.6,580,1602.3,613.57,481.02,544.95,798.99,534.91,864,644.13,899.62,1059.7,721.59,576.36,932.71,493.67,927.2,346.41,501.27,791.25,309.59,503.1,748.36,305.99,537.31,373.56,794.3,431.25,952.65,518.62,365.12,497.73,468.93,513.1,749.81,1022.6,448.13,481.78,990.98,134.78,698.22,527.31,843.83,698.52,937.84,361.5,395.25,228.2,557.51,566.07,408.01,428.89,736.42,689.7,1032.7,908.63,915.55,754.15,268.04,1004.3
